lambda(nm) Ua(cm^-1) (Hale and Querry 1973 Optical Constants of Water in the 200 nm to 200 mu m Wavelength Region)
400.00	0.00058000
425.00	0.00038000
450.00	0.00028000
475.00	0.00024700
500.00	0.00025000
525.00	0.00032000
550.00	0.00045000
575.00	0.00079000
600.00	0.0023000
625.00	0.0028000
650.00	0.0032000
675.00	0.0041500
700.00	0.0060000
725.00	0.015900
750.00	0.026000
775.00	0.024000
800.00	0.020000
810.00	0.019858
820.00	0.023907
825.00	0.028000
830.00	0.029069
840.00	0.034707
850.00	0.043000
860.00	0.046759
870.00	0.051999
875.00	0.056000
880.00	0.055978
890.00	0.060432
900.00	0.068000
910.00	0.072913
920.00	0.10927
925.00	0.14400
930.00	0.17296
940.00	0.26737
950.00	0.39000
960.00	0.42000
970.00	0.45000
975.00	0.45000
980.00	0.43000
990.00	0.41000
1000.0	0.36000
1020.0	0.27000
1040.0	0.16000
1060.0	0.12000
1080.0	0.13000
1100.0	0.17000
1120.0	0.52000
1140.0	0.66000
1160.0	0.89000
1180.0	1.0400
1200.0	1.0400
1220.0	0.95000
1240.0	0.88000
1260.0	0.89000
1280.0	0.98000
1300.0	1.1100
